대학교,기존주소,경도,위도,X좌표(Katec),Y좌표(Katec)
가톨릭대(성의),서울특별시 서초구 반포4동 505번지 가톨릭대학교 성의교정,,37.499755,312243,544641
가톨릭대,서울특별시 종로구 혜화동 90-1번지,127.004594,37.586016,312284,554215
감리신학대,서울특별시 서대문구 천연동 31번지 감리교신학대학,126.962109,37.567467,308509,552197
건국대,서울특별시 광진구 화양동 1번지 건국대학교,127.073689,37.542634,318339,549338
경기대,서울특별시 서대문구 충현동 68번지 경기대학교,126.96199,37.564592,308495,551878
경희대,서울특별시 동대문구 회기동 1번지 경희대학교,127.053241,37.596337,316592,555316
고려대,서울특별시 성북구 안암동 1-2번지 고려대학교,127.032537,37.588708,314755,554488
광운대,서울특별시 노원구 월계1동 447-1번지 광운대학교,127.059695,37.619725,317188,557906
국민대,서울특별시 성북구 정릉3동 861-1번지 국민대학교,126.996208,37.610949,311573,556990
그리스도대,서울특별시 강서구 화곡6동 953-1번지 그리스도대학교,126.854295,,298959,550212
덕성여대,서울특별시 도봉구 쌍문1동 419번지,127.016955,37.651652,313452,561488
동국대,서울특별시 중구 장충동 192-5번지 동국대학교,127.000871,37.558746,311923,551192
동덕여대,서울특별시 성북구 월곡2동 23-1번지,127.042529,37.606864,315658,556494
명지대,서울특별시 서대문구 남가좌2동 50-3번지 명지대학교,126.923178,37.580219,305086,553651
삼육대,서울특별시 노원구 공릉2동 26-19번지 26동 21호,127.10544,37.644039,321252,560565
상명대,서울특별시 종로구 부암동 7번지 상명대학교,126.955889,37.602661,308003,556109
서강대,서울특별시 마포구 대흥동 1번지 서강대학교,126.940544,37.551507,306584,550447
서경대,서울특별시 성북구 정릉4동 산 16-1번지 서경대학교,127.012466,37.61487,313013,557410
서울과기대,서울특별시 노원구 공릉2동 172번지 172호,127.079491,37.632991,318950,559361
서울기독대,서울특별시 은평구 신사1동 1-19번지 호,126.912146,,304138,555942
서울대,서울특별시 관악구 대학동 산 56-1번지 서울대학교,126.958777,37.456167,308078,539848
서울시립대,서울특별시 동대문구 전농2동 90번지,127.057332,37.583475,316939,553885
서울여대,서울특별시 노원구 공릉2동 126번지 서울여자대학교,127.090843,37.627502,319946,558742
성공회대,서울특별시 구로구 오류2동 1-1번지 성공회대학교,126.825966,37.487432,296371,543456
성균관대,서울특별시 종로구 혜화동 53번지 성균관대학교,126.955424,37.585911,311474,554212
성신여대,서울특별시 성북구 동선동 249-1번지 성신여자대학교,127.021212,37.592309,313759,554898
세종대,서울특별시 광진구 군자동 98번지 세종대학교,127.074268,37.550748,318399,550238
숙명여대,서울특별시 용산구 청파동 53-12번지 숙명여자대학교,126.964896,37.546002,308729,549812
숭실대,서울특별시 동작구 상도1동 511번지 숭실대학교,126.957303,37.496404,307997,544315
이화여대,서울특별시 서대문구 신촌동 134번지,126.940286,37.564912,306578,551935
연세대,서울특별시 서대문구 신촌동 11-1번지,126.946774,37.563168,307149,551735
장로신학대,서울특별시 광진구 광장동 353번지 장로회신학대학교,127.103405,37.550198,320973,550152
중앙대,서울특별시 동작구 흑석동 221번지,126.956626,37.504382,307947,545201
대한장로회,서울특별시 동작구 사당3동 200-1번지 대한예수교장로회총회신학원,126.966711,37.489062,308820,543491
추계예술대,서울특별시 서대문구 충현동 190-1번지 추계예술대학교,126.953413,37.562777,307735,551685
한국성서,서울특별시 노원구 상계6.7동 205번지 한국성서대학교,,37.648875,317637,561137
한국외대,서울특별시 동대문구 이문1동 270-1번지,127.058754,37.597318,317080,555420
한체대,서울특별시 송파구 오륜동 88-15번지 한국체육대학교,127.131114,37.519562,323390,546729
한성대,서울특별시 성북구 삼선동 389번지 삼선동2호 가한성대학교,127.010318,37.582955,312786,553870
한양대,서울특별시 성동구 사근동 110번지,127.046975,37.557532,315995,551015
한영신대,서울특별시 구로구 개봉1동 415-9번지 한영신학대학교,,37.496567,298641,544442
홍익대,서울특별시 마포구 서강동 72-1번지 홍익대학교,126.925719,37.550716,305273,550374
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
